firstName,lastName,pos,college,birthDate,birthCity,birthState,hsCity,hsState,race,height,weight
Johnny,Cox,G,Kentucky,11/1/36,Neon,KY,Hazard,KY,W,76,180
Wesley,Cox,F,Louisville,1/27/55,Louisville,KY,Louisville,KY,B,78,215
Jordan,Crawford,G,Xavier (OH),10/23/88,Detroit,MI,Detroit,MI,B,76,195
Jim,Creighton,F,Colorado,4/18/50,Billings,MT,Denver,CO,W,80,200
Winston,Crite,F,Texas A&M,6/20/65,Bakersfield,CA,Bakersfield,CA,B,79,233
Terry,Crosby,G,Tennessee,1/4/57,Toledo,OH,Toledo,OH,B,76,195
Austin,Croshere,F,Providence,5/1/75,Los Angeles,CA,Santa Monica,CA,W,81,235
Russell,Cross,C,Purdue,9/5/61,Chicago,IL,Chicago,IL,B,81,215
John,Crotty,G,Virginia,7/15/69,Orange,NJ,Lincroft,NJ,W,73,185
Mark,Crow,F,Duke,10/22/54,Edwards AFB,CA,Richmond,VA,W,79,195
Vonteego,Cummings,G,Pittsburgh,2/29/76,Thomson,GA,Thomson,GA,B,75,185
Dick,Cunningham,C,Murray State,7/11/46,Canton,OH,Canton,OH,W,82,240
William,Cunningham,C,Temple,3/25/74,Augusta,GA,Augusta,GA,B,83,240
Earl,Cureton,F-C,Detroit,9/3/57,Detroit,MI,Detroit,MI,B,81,210
Eddy,Curry,F-C,DePaul,12/5/82,South Holland,IL,S. Holland,IL,B,83,285
Quintin,Dailey,G,San Francisco,1/22/61,Baltimore,MD,Baltimore,MD,B,75,180
Erick,Dampier,C-F,Mississippi State,7/14/74,Jackson,MS,Monticello,MS,B,83,265
Louie,Dampier,G,Kentucky,11/20/44,Indianapolis,IN,Indianapolis,IN,W,72,170
Antonio,Daniels,G,Bowling Green,3/19/75,Columbus,OH,Columbus,OH,B,76,195
Erik,Daniels,F,Kentucky,4/1/82,Cincinnati,OH,Cincinnati,OH,B,80,214
Lloyd,Daniels,G,Mount San Antonio,9/4/67,Brooklyn,NY,Jamaica ,NY,B,79,205
Marquis,Daniels,F,Auburn,1/7/81,Orlando,FL,Durham,NC,B,78,200
Oliver,Darden,F-C,Michigan,7/28/44,Aberdeen,MS,Detroit,MI,B,78.5,235
Jesse,Dark,G,Virginia Commonwealth,9/2/51,Richmond,VA,Richmond,VA,B,76.5,210
